scenario,seed,window_id,window_start,window_end,target_packets,target_received,background_packets,loss_rate,target_rate,background_rate,mean_delay,p95_delay,p99_delay,received_violation_prob,violation_prob
overall_two_sta,11,11,115.0,125.0,63,63,58,0.0,6.3,5.8,0.001766178888888889,0.0017462,0.0023475758000000005,0.0,0.0
overall_two_sta,13,0,5.0,15.0,132,132,118,0.0,13.2,11.8,0.0018321817424242425,0.0022264259999999997,0.003386405699999998,0.0,0.0
overall_two_sta,13,1,15.0,25.0,128,128,121,0.0,12.8,12.1,0.001756954921875,0.0017461400000000002,0.0021524311000000007,0.0,0.0
overall_two_sta,13,2,25.0,35.0,125,125,118,0.0,12.5,11.8,0.00174784096,0.0017461500000000001,0.00174615,0.0,0.0
overall_two_sta,13,3,35.0,45.0,117,117,118,0.0,11.7,11.8,0.0017652350427350425,0.00174615,0.00210566,0.0,0.0
overall_two_sta,13,4,45.0,55.0,121,121,120,0.0,12.1,12.0,0.0017532931404958677,0.00174616,0.0019613519999999995,0.0,0.0
overall_two_sta,13,5,55.0,65.0,124,124,118,0.0,12.4,11.8,0.001787551935483871,0.00174616,0.003088559899999997,0.0,0.0
overall_two_sta,13,6,65.0,75.0,134,134,121,0.0,13.4,12.1,0.0017871633582089552,0.00174617,0.0031537353999999953,0.0,0.0
overall_two_sta,13,7,75.0,85.0,134,134,118,0.0,13.4,11.8,0.0017803255970149253,0.00174618,0.0029058687999999966,0.0,0.0
overall_two_sta,13,8,85.0,95.0,137,137,120,0.0,13.7,12.0,0.001770147810218978,0.00174618,0.0023987827999999997,0.0,0.0
overall_two_sta,13,9,95.0,105.0,133,133,118,0.0,13.3,11.8,0.0017927794736842105,0.00174619,0.0029687460000000013,0.0,0.0
overall_two_sta,13,10,105.0,115.0,140,140,120,0.0,14.0,12.0,0.0017509672142857144,0.00174619,0.001948408899999995,0.0,0.0
overall_two_sta,13,11,115.0,125.0,79,79,58,0.0,7.9,5.8,0.00175629835443038,0.0017462,0.0019217291999999993,0.0,0.0
overall_two_sta,7,0,5.0,15.0,114,114,118,0.0,11.4,11.8,0.0018949491228070175,0.0020737979999999982,0.0035186928000000006,0.008771929824561403,0.008771929824561403
overall_two_sta,7,1,15.0,25.0,142,142,121,0.0,14.2,12.1,0.0018115026056338029,0.002171789999999999,0.0032180517000000007,0.0,0.0
overall_two_sta,7,2,25.0,35.0,135,135,118,0.0,13.5,11.8,0.0017835009629629628,0.001837184999999999,0.0027583797999999994,0.0,0.0
overall_two_sta,7,3,35.0,45.0,166,166,118,0.0,16.6,11.8,0.0018331909638554214,0.0023985225,0.0033689569999999997,0.0,0.0
overall_two_sta,7,4,45.0,55.0,145,145,120,0.0,14.5,12.0,0.0017729715862068965,0.00174616,0.002642118000000002,0.0,0.0
overall_two_sta,7,5,55.0,65.0,147,147,118,0.0,14.7,11.8,0.001765122993197279,0.00174616,0.0023237623999999976,0.0,0.0
overall_two_sta,7,6,65.0,75.0,134,134,121,0.0,13.4,12.1,0.001771682089552239,0.00174617,0.0024129230999999952,0.0,0.0
overall_two_sta,7,7,75.0,85.0,143,143,118,0.0,14.3,11.8,0.0017805176923076922,0.00174618,0.0030228392000000073,0.0,0.0
overall_two_sta,7,8,85.0,95.0,140,140,120,0.0,14.0,12.0,0.0018095354999999999,0.0018899174999999922,0.0034076971999999995,0.0,0.0
overall_two_sta,7,9,95.0,105.0,132,132,118,0.0,13.2,11.8,0.0017610986363636363,0.00174619,0.0019544595999999993,0.0,0.0
overall_two_sta,7,10,105.0,115.0,160,160,120,0.0,16.0,12.0,0.0017873662499999997,0.0017462,0.0031135948,0.0,0.0
overall_two_sta,7,11,115.0,125.0,69,69,58,0.0,6.9,5.8,0.0017461985507246378,0.0017462,0.0017461999999999998,0.0,0.0
vacation_high_two_sta,11,0,5.0,15.0,120,120,944,0.0,12.0,94.4,0.00263053925,0.005873425,0.015487495000000009,0.025,0.025
vacation_high_two_sta,11,1,15.0,25.0,126,126,968,0.0,12.6,96.8,0.002528627380952381,0.0056840475,0.01485681,0.015873015873015872,0.015873015873015872
vacation_high_two_sta,11,2,25.0,35.0,133,133,944,0.0,13.3,94.4,0.002501584060150376,0.005671862,0.013043828000000016,0.03007518796992481,0.03007518796992481
vacation_high_two_sta,11,3,35.0,45.0,121,121,944,0.0,12.1,94.4,0.002320820165289256,0.00560035,0.007868523999999997,0.008264462809917356,0.008264462809917356
vacation_high_two_sta,11,4,45.0,55.0,126,126,960,0.0,12.6,96.0,0.002560712857142857,0.0069725525,0.0114878,0.023809523809523808,0.023809523809523808
vacation_high_two_sta,11,5,55.0,65.0,131,131,944,0.0,13.1,94.4,0.0027250536641221373,0.00804091,0.01620434999999993,0.030534351145038167,0.030534351145038167
vacation_high_two_sta,11,6,65.0,75.0,105,105,968,0.0,10.5,96.8,0.0024467967619047617,0.005947537999999997,0.010680239999999999,0.02857142857142857,0.02857142857142857
vacation_high_two_sta,11,7,75.0,85.0,115,115,944,0.0,11.5,94.4,0.0026417990434782607,0.004831,0.017445846,0.02608695652173913,0.02608695652173913
vacation_high_two_sta,11,8,85.0,95.0,127,127,960,0.0,12.7,96.0,0.002577206614173228,0.005949365999999996,0.008394669599999998,0.0,0.0
vacation_high_two_sta,11,9,95.0,105.0,124,124,944,0.0,12.4,94.4,0.002577108064516129,0.005459324499999998,0.0082738295,0.008064516129032258,0.008064516129032258
vacation_high_two_sta,11,10,105.0,115.0,128,128,960,0.0,12.8,96.0,0.002656317890625,0.0057229755,0.019509458000000045,0.0234375,0.0234375
vacation_high_two_sta,11,11,115.0,125.0,63,63,464,0.0,6.3,46.4,0.0021188485714285716,0.004271013999999998,0.006015846000000007,0.0,0.0
vacation_high_two_sta,13,0,5.0,15.0,132,132,944,0.0,13.2,94.4,0.0029355298484848484,0.0073219884999999926,0.016069740999999988,0.03787878787878788,0.03787878787878788
vacation_high_two_sta,13,1,15.0,25.0,128,128,968,0.0,12.8,96.8,0.00279139171875,0.007439852499999997,0.01812104000000004,0.0390625,0.0390625
vacation_high_two_sta,13,2,25.0,35.0,125,125,944,0.0,12.5,94.4,0.00263857512,0.006231498,0.012801264000000017,0.024,0.024
vacation_high_two_sta,13,3,35.0,45.0,117,117,944,0.0,11.7,94.4,0.0023271334188034185,0.005673324,0.007836664400000002,0.0,0.0
vacation_high_two_sta,13,4,45.0,55.0,121,121,960,0.0,12.1,96.0,0.0024142155371900827,0.00550874,0.011231021999999995,0.01652892561983471,0.01652892561983471
vacation_high_two_sta,13,5,55.0,65.0,124,124,944,0.0,12.4,94.4,0.0029670725,0.007556648499999999,0.01756077199999999,0.04032258064516129,0.04032258064516129
vacation_high_two_sta,13,6,65.0,75.0,134,134,968,0.0,13.4,96.8,0.002835616791044776,0.006572628999999995,0.015239066999999933,0.022388059701492536,0.022388059701492536
vacation_high_two_sta,13,7,75.0,85.0,134,134,944,0.0,13.4,94.4,0.0029915402985074627,0.007224023999999998,0.019202186999999992,0.029850746268656716,0.029850746268656716
vacation_high_two_sta,13,8,85.0,95.0,137,137,960,0.0,13.7,96.0,0.002522013138686131,0.006334943999999999,0.013077239999999957,0.029197080291970802,0.029197080291970802
vacation_high_two_sta,13,9,95.0,105.0,133,133,944,0.0,13.3,94.4,0.002978071203007519,0.007092093999999998,0.013321996000000006,0.03007518796992481,0.03007518796992481
vacation_high_two_sta,13,10,105.0,115.0,140,140,960,0.0,14.0,96.0,0.0025060085,0.006276530999999994,0.01158739659999995,0.014285714285714285,0.014285714285714285
vacation_high_two_sta,13,11,115.0,125.0,79,79,464,0.0,7.9,46.4,0.0025810774683544305,0.0061074029999999965,0.012616183999999997,0.0379746835443038,0.0379746835443038
vacation_high_two_sta,7,0,5.0,15.0,114,114,944,0.0,11.4,94.4,0.00270656,0.006527239999999994,0.01585183400000002,0.03508771929824561,0.03508771929824561
vacation_high_two_sta,7,1,15.0,25.0,142,142,968,0.0,14.2,96.8,0.0028970135211267606,0.006382341,0.021659600000000025,0.02112676056338028,0.02112676056338028
vacation_high_two_sta,7,2,25.0,35.0,135,135,944,0.0,13.5,94.4,0.0024870675555555555,0.0075450539999999955,0.010539776199999995,0.014814814814814815,0.014814814814814815
vacation_high_two_sta,7,3,35.0,45.0,166,166,944,0.0,16.6,94.4,0.002357464578313253,0.005117099999999999,0.007930524499999982,0.012048192771084338,0.012048192771084338
vacation_high_two_sta,7,4,45.0,55.0,145,145,960,0.0,14.5,96.0,0.0028491213103448276,0.007569145999999998,0.013430616000000003,0.020689655172413793,0.020689655172413793
vacation_high_two_sta,7,5,55.0,65.0,147,147,944,0.0,14.7,94.4,0.0026212214965986393,0.006545435999999991,0.015692245999999948,0.02040816326530612,0.02040816326530612
vacation_high_two_sta,7,6,65.0,75.0,134,134,968,0.0,13.4,96.8,0.0025592310447761194,0.005389477999999998,0.006947758799999998,0.007462686567164179,0.007462686567164179
vacation_high_two_sta,7,7,75.0,85.0,143,143,944,0.0,14.3,94.4,0.002427595034965035,0.005354401000000001,0.007546737600000001,0.0,0.0
vacation_high_two_sta,7,8,85.0,95.0,140,140,960,0.0,14.0,96.0,0.002414781357142857,0.005572416999999999,0.008354572799999998,0.007142857142857143,0.007142857142857143
vacation_high_two_sta,7,9,95.0,105.0,132,132,944,0.0,13.2,94.4,0.002403804545454545,0.005789528499999997,0.010070852099999998,0.015151515151515152,0.015151515151515152
vacation_high_two_sta,7,10,105.0,115.0,160,160,960,0.0,16.0,96.0,0.0027744988749999998,0.007186774999999999,0.022508535999999996,0.01875,0.01875
vacation_high_two_sta,7,11,115.0,125.0,69,69,464,0.0,6.9,46.4,0.0027814614492753624,0.005605039999999994,0.01718365999999992,0.043478260869565216,0.043478260869565216
