policy,runs,seeds,target_violation_reduction_mean,target_violation_reduction_std,p95_delay_reduction_mean,p95_delay_reduction_std,trigger_rate_mean,trigger_rate_std,background_cost_mean,background_cost_std,false_alarm_cost_mean,false_alarm_cost_std
direct_risk_trigger,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,0.1378639804,0.009052421453,0.07548065828,0.009172156677,0.2,0,0.024,0,0.1346,0.002616586272
ewma_persistence_trigger,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,0.05275890197,0.006616205068,0.03088657872,0.004185455655,0.2,0,0.024,0,0.1805333333,0.002309851209
proposed_safe_trigger,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,0.149195476,0.01014252537,0.08591599862,0.008297350678,0.2,0,0.024,0,0.1331777778,0.002888528992
random_trigger,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,0.05404771336,0.008244842622,0.03308844066,0.005452024148,0.2,0,0.024,0,0.1800444444,0.002685702041
static_utilization_trigger,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,0.1266906034,0.008578638473,0.080461388,0.006530133754,0.2,0,0.024,0,0.1497777778,0.002766174596
