scenario,method,runs,seeds,window_n_mean,delay_mae_mean,delay_mae_std,risk_mae_mean,risk_mae_std,p95_mae_mean,p95_mae_std,p99_mae_mean,p99_mae_std,violation_mae_mean,violation_mae_std,safe_coverage_mean,safe_coverage_std,avg_conservativeness_mean,avg_conservativeness_std,screening_auroc_mean,screening_auroc_std,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,calibration_ece_mean,calibration_ece_std
drift_mild,static_queueing,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,250,0.0808894607,0.01198009039,0.2383346374,0.03392446115,0.2038609535,0.02381663306,0.236807692,0.02659084012,0.06066801575,0.009492580235,0.4688,0.03188400028,-0.1783769644,0.03464589391,0.5,0,0.112,0.05745478772,0.112,0.05745478772,0.1784440528,0.03465826017
drift_mild,tail_metric_ridge,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,250,0.06041241348,0.01095060917,0.2068997031,0.02804703732,0.1463931378,0.01855485603,0.1635754759,0.0189724105,25109504.77,107536967.1,0.8714,0.0340470263,0.2229700573,0.09185048282,0.8456977778,0.04157766082,0.404,0.0798946675,0.404,0.0798946675,0.2466180108,0.06896062418
drift_strong,ablation_m1_only,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,250,0.7034126032,0.08768842704,1.540292853,0.1589632096,1.326559771,0.1443031803,1.404371654,0.1476183507,0.2545058254,0.01933241929,0.6164,0.04144546194,-0.7076761469,0.1872349466,0.8255155556,0.04807934075,0.432,0.0876356092,0.432,0.0876356092,0.9265830414,0.1376037343
drift_strong,ablation_no_margin,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,250,0.6518096735,0.08211218214,1.361890323,0.1380756977,1.167352622,0.1357411382,1.210263961,0.1376055068,0.2142605278,0.01402623954,0.1994,0.03707801164,-1.158009071,0.1529739707,0.8279111111,0.04640854932,0.442,0.08941917844,0.442,0.08941917844,1.158009071,0.1529739707
drift_strong,ablation_no_vacation,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,250,0.652717627,0.08215796025,1.367376278,0.1390312808,1.175797154,0.135831808,1.221972266,0.1377042853,0.2149553728,0.01437218595,0.6282,0.04652967361,-0.619636185,0.1973670406,0.8286533333,0.04637385183,0.448,0.08569222774,0.448,0.08569222774,0.7284641419,0.1456029945
drift_strong,blackbox_delay,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,250,0.8534335625,0.3579880135,4.211361213,6.990019429,1.797532733,1.355232245,1.628528676,0.8432189278,2.705961507e+46,1.208779442e+47,0.2246,0.04079783276,1.349856026,7.096542843,0.7705688889,0.05435694432,0.248,0.0984939218,0.248,0.0984939218,3.884835693,6.985185791
drift_strong,direct_p95_conformal,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,250,0.8534335625,0.3579880135,1.843229334,0.821340514,1.797532733,1.355232245,1.628528676,0.8432189278,2.705961507e+46,1.208779442e+47,0.5488,0.0428971843,-0.5680590116,0.9319692686,0.7733955556,0.0568629846,0.246,0.09648561387,0.246,0.09648561387,1.317295339,0.8171495077
drift_strong,direct_risk_conformal,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,250,0.8534335625,0.3579880135,4.211361213,6.990019429,1.797532733,1.355232245,1.628528676,0.8432189278,2.705961507e+46,1.208779442e+47,0.5556,0.04850436768,1.685492321,7.094618458,0.7705688889,0.05435694432,0.248,0.0984939218,0.248,0.0984939218,3.659232258,6.99941159
drift_strong,kingman_no_vacation,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,250,0.7034126032,0.08768842704,1.540292853,0.1589632096,1.326559771,0.1443031803,1.404371654,0.1476183507,0.2545058254,0.01933241929,0.6164,0.04144546194,-0.7076761469,0.1872349466,0.8255155556,0.04807934075,0.432,0.0876356092,0.432,0.0876356092,0.9265830414,0.1376037343
drift_strong,oracle_queueing,20,11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;7;71;73;79;83,250,0.5293985299,0.05960006232,0.9999589483,0.1017279819,0.9656399103,0.1063141056,1.153983042,0.1315559036,0.1109882952,0.01375674512,0.5242,0.0355995269,0.4234698293,0.1428451969,0.9368444444,0.01718708735,0.558,0.07729642192,0.558,0.07729642192,0.5212197102,0.1185969178
