method,folds,heldout_seeds,risk_mae_mean,risk_mae_std,p95_mae_mean,p95_mae_std,violation_mae_mean,violation_mae_std,safe_coverage_mean,safe_coverage_std,screening_auroc_mean,screening_auroc_std,recall_at_10_mean,recall_at_10_std
ns3_lagged_safe,5,7;11;13;17;19;23;29;31;37;41,0.09855393013747524,0.02364716533522365,0.0005184952109041515,6.273049391980924e-05,0.15719681352139575,0.10409786458464364,0.8944444444444445,0.010300275676521765,0.9741935483870968,0.027222968434868152,0.5700000000000001,0.1604680653588121
ns3_direct_nomargin,5,7;11;13;17;19;23;29;31;37;41,0.09855393013747524,0.02364716533522365,0.0005184952109041515,6.273049391980924e-05,0.15719681352139575,0.10409786458464364,0.5597222222222222,0.03885166869638715,0.9741935483870968,0.027222968434868152,0.5700000000000001,0.1604680653588121
ns3_ewma_safe,5,7;11;13;17;19;23;29;31;37;41,0.06052245196635013,0.0017725863796392172,0.0006557662326576966,8.076450541132373e-05,0.04029159265428807,0.0011664636003269114,0.898611111111111,0.014400306495366468,0.9990322580645161,0.0006747258278500444,0.75,0.0
ns3_background_rate,5,7;11;13;17;19;23;29;31;37;41,0.35561836490818627,0.002034982401963616,0.0005184952109041515,6.273049391980924e-05,0.15719681352139575,0.10409786458464364,0.8472222222222221,1.2412670766236366e-16,0.785483870967742,0.0,0.0,0.0
