scenario,seed,window_id,window_start,window_end,target_packets,target_received,background_packets,loss_rate,target_rate,background_rate,mean_delay,p95_delay,p99_delay,received_violation_prob,violation_prob
drift_strong,23,3,35.0,45.0,294,0,354,1.0,29.4,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,23,4,45.0,55.0,269,0,360,1.0,26.9,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,23,5,55.0,65.0,254,0,354,1.0,25.4,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,23,6,65.0,75.0,286,0,363,1.0,28.6,36.3,0.0,0.0,0.0,0.0,1.0
drift_strong,23,7,75.0,85.0,266,0,354,1.0,26.6,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,23,8,85.0,95.0,252,0,360,1.0,25.2,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,23,9,95.0,105.0,274,0,354,1.0,27.4,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,23,10,105.0,115.0,250,0,360,1.0,25.0,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,23,11,115.0,125.0,124,0,174,1.0,12.4,17.4,0.0,0.0,0.0,0.0,1.0
drift_strong,29,0,5.0,15.0,291,291,354,0.0,29.1,35.4,0.0022655815463917526,0.003235315,0.004303434000000001,0.0,0.0
drift_strong,29,1,15.0,25.0,254,27,363,0.8937007874015748,25.4,36.3,0.0021730818518518515,0.002165498,0.0026684199999999986,0.0,0.8937007874015748
drift_strong,29,2,25.0,35.0,251,0,354,1.0,25.1,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,29,3,35.0,45.0,243,0,354,1.0,24.3,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,29,4,45.0,55.0,256,0,360,1.0,25.6,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,29,5,55.0,65.0,257,0,354,1.0,25.7,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,29,6,65.0,75.0,271,0,363,1.0,27.1,36.3,0.0,0.0,0.0,0.0,1.0
drift_strong,29,7,75.0,85.0,266,0,354,1.0,26.6,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,29,8,85.0,95.0,288,0,360,1.0,28.8,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,29,9,95.0,105.0,258,0,354,1.0,25.8,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,29,10,105.0,115.0,260,0,360,1.0,26.0,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,29,11,115.0,125.0,118,0,174,1.0,11.8,17.4,0.0,0.0,0.0,0.0,1.0
drift_strong,31,0,5.0,15.0,285,285,354,0.0,28.5,35.4,0.0022474386666666664,0.002917738000000001,0.00405353400000001,0.0,0.0
drift_strong,31,1,15.0,25.0,278,32,363,0.8848920863309353,27.8,36.3,0.0024313371875,0.0038281439999999995,0.004379207500000001,0.0,0.8848920863309353
drift_strong,31,2,25.0,35.0,247,0,354,1.0,24.7,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,31,3,35.0,45.0,248,0,354,1.0,24.8,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,31,4,45.0,55.0,275,0,360,1.0,27.5,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,31,5,55.0,65.0,266,0,354,1.0,26.6,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,31,6,65.0,75.0,244,0,363,1.0,24.4,36.3,0.0,0.0,0.0,0.0,1.0
drift_strong,31,7,75.0,85.0,255,0,354,1.0,25.5,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,31,8,85.0,95.0,246,0,360,1.0,24.6,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,31,9,95.0,105.0,262,0,354,1.0,26.2,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,31,10,105.0,115.0,262,0,360,1.0,26.2,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,31,11,115.0,125.0,131,0,174,1.0,13.1,17.4,0.0,0.0,0.0,0.0,1.0
