scenario,windows,seeds,target_packets_mean,target_packets_std,target_received_mean,target_received_std,loss_rate_mean,loss_rate_std,target_rate_mean,target_rate_std,background_rate_mean,background_rate_std,mean_delay_mean,mean_delay_std,p95_delay_mean,p95_delay_std,p99_delay_mean,p99_delay_std,received_violation_prob_mean,received_violation_prob_std,violation_prob_mean,violation_prob_std
drift_strong,120,11;13;17;19;23;29;31;37;41;7,254.93333333333334,41.15368477193899,24.316666666666666,74.11426373941696,0.9089944124937421,0.27642789929408806,25.493333333333332,4.115368477193899,34.2,5.099184314404502,0.0003796790972837302,0.000853115480801868,0.0005005791083333332,0.0011501278951544765,0.00064979093,0.001498823565377813,9.650988372648496e-05,0.0006059533350188715,0.9090909223774687,0.2761083526353978
load_high,120,11;13;17;19;23;29;31;37;41;7,1787.3833333333334,261.8339066619737,1787.3583333333333,261.828213482333,1.353603560332132e-05,8.48887883442072e-05,178.73833333333332,26.18339066619737,11.4,1.6997281048015007,0.002275441361052012,4.225775217553954e-05,0.004317676354166665,0.00019408329374774174,0.0059595576508333315,0.00041233027543592844,0.00019260116425170423,0.00047288496640596005,0.00020612005446548495,0.0005099902106276323
overall,120,11;13;17;19;23;29;31;37;41;7,126.6,21.22840969435206,126.6,21.22840969435206,0.0,0.0,12.66,2.122840969435206,11.4,1.6997281048015007,0.0017822699528641298,2.501962213943918e-05,0.0018327787374999998,0.00018342139213123728,0.00267396134,0.0004936876623064849,0.00020049405122000405,0.0012665169058820429,0.00020049405122000405,0.0012665169058820429
traffic_mix_c2_heavy,120,11;13;17;19;23;29;31;37;41;7,113.68333333333334,19.09066529486493,113.68333333333334,19.09066529486493,0.0,0.0,11.368333333333334,1.9090665294864928,11.4,1.6997281048015007,0.001780488542881819,2.583520815483647e-05,0.0018144354708333331,0.0001553475688604831,0.0026155434574999994,0.0005210605832610686,0.0002244268077601411,0.001418747658496273,0.0002244268077601411,0.001418747658496273
traffic_mix_video_heavy,120,11;13;17;19;23;29;31;37;41;7,145.29166666666666,24.21937408837175,145.29166666666666,24.21937408837175,0.0,0.0,14.529166666666667,2.421937408837175,11.4,1.6997281048015007,0.001783505595934604,2.2783071108530738e-05,0.0018184558416666666,0.00016171705990577213,0.002749553946666666,0.000456321301464489,0.00017145251726875075,0.0010815875653761083,0.00017145251726875075,0.0010815875653761083
vacation_high,120,11;13;17;19;23;29;31;37;41;7,126.6,21.22840969435206,126.6,21.22840969435206,0.0,0.0,12.66,2.122840969435206,91.2,13.597824838412006,0.004652708413781002,0.0006447061520473439,0.01787472429166666,0.0020875980757559935,0.025969289516666657,0.006395064852713761,0.15821416194518417,0.035437768864169314,0.15821416194518417,0.035437768864169314
