seed,scenario,variant,variant_label,delay_mae,risk_mae,coverage,auroc,recall_at_10
7,overall,baseline,Baseline,0.014458557604457942,0.04788603449484927,0.992,0.8990222222222222,0.56
7,load_high,baseline,Baseline,0.10926945698614934,0.4058281549795411,0.796,0.8407111111111111,0.32
7,vacation_high,baseline,Baseline,0.043343636302060715,0.169020808273811,0.96,0.9034666666666666,0.4
7,drift_strong,baseline,Baseline,0.7032290061335855,1.442427176435145,0.732,0.8312888888888889,0.44
7,overall,c_v_0x,$c_v$ 0x,0.014488549024201179,0.04816949308794878,0.992,0.8988444444444444,0.56
7,load_high,c_v_0x,$c_v$ 0x,0.1096364702096236,0.40655281551275696,0.796,0.8407111111111111,0.32
7,vacation_high,c_v_0x,$c_v$ 0x,0.04396115066585297,0.1700621359655284,0.96,0.9032888888888889,0.4
7,drift_strong,c_v_0x,$c_v$ 0x,0.7035891502173564,1.443212392334304,0.732,0.8311111111111111,0.44
7,overall,c_v_0.5x,$c_v$ 0.5x,0.01447299395958564,0.0480262594418823,0.992,0.8990222222222222,0.56
7,load_high,c_v_0.5x,$c_v$ 0.5x,0.10945296359788648,0.40619090400635643,0.796,0.8407111111111111,0.32
7,vacation_high,c_v_0.5x,$c_v$ 0.5x,0.043649296390274976,0.16953912464215243,0.96,0.9032888888888889,0.4
7,drift_strong,c_v_0.5x,$c_v$ 0.5x,0.703409078175471,1.4428201545478132,0.732,0.8311111111111111,0.44
7,overall,c_v_1.5x,$c_v$ 1.5x,0.014446201728434954,0.04774920800680496,0.992,0.8990222222222222,0.56
7,load_high,c_v_1.5x,$c_v$ 1.5x,0.10908780312197203,0.40546456435947653,0.796,0.8405333333333334,0.32
7,vacation_high,c_v_1.5x,$c_v$ 1.5x,0.04304236898887604,0.16850355777470472,0.96,0.9034666666666666,0.4
7,drift_strong,c_v_1.5x,$c_v$ 1.5x,0.7030489340917001,1.4420334549597695,0.732,0.8314666666666667,0.44
7,overall,c_v_2x,$c_v$ 2x,0.014445151909557464,0.047614981098573206,0.992,0.8990222222222222,0.56
7,load_high,c_v_2x,$c_v$ 2x,0.10890684066518626,0.40510012806095214,0.796,0.8405333333333334,0.32
7,vacation_high,c_v_2x,$c_v$ 2x,0.04274507072259038,0.1679850054385162,0.96,0.9034666666666666,0.4
7,drift_strong,c_v_2x,$c_v$ 2x,0.7028688620498146,1.4416389870652024,0.732,0.8314666666666667,0.44
