seed,policy,n,target_violation_reduction,p95_delay_reduction,trigger_rate,background_cost,false_alarm_cost,base_violation,controlled_violation,base_p95,controlled_p95
7,proposed_safe_trigger,2070,0.16362635868921444,0.09127817757937742,0.22946859903381642,0.02753623188405797,0.15797101449275364,0.0688844476526642,0.05761313631294095,0.4495206259961746,0.40848920247090287
7,direct_risk_trigger,2070,0.16254392002192722,0.09325772180098872,0.22801932367149758,0.027362318840579707,0.15603864734299516,0.0688844476526642,0.05768769950265492,0.4495206259961746,0.40759935651321705
7,ewma_persistence_trigger,2070,0.0553628870291044,0.0382975077564918,0.23623188405797102,0.02834782608695652,0.21594202898550724,0.0688844476526642,0.0650708057592075,0.4495206259961746,0.43230510633538305
7,static_utilization_trigger,2070,0.1355363561990278,0.08463799660318738,0.2318840579710145,0.02782608695652174,0.1782608695652174,0.0688844476526642,0.059548100619039424,0.4495206259961746,0.4114741007800477
7,random_trigger,2070,0.05632776661401712,0.03499136961634921,0.22995169082125605,0.027594202898550725,0.20628019323671498,0.0688844476526642,0.06500434056194945,0.4495206259961746,0.4337912836217698
11,proposed_safe_trigger,2070,0.1722304422216809,0.09414168409953995,0.22560386473429953,0.02707246376811594,0.15314009661835748,0.070121783799564,0.058044677966392,0.42619962012000095,0.3860764701193199
11,direct_risk_trigger,2070,0.17076188472035075,0.09341065867581516,0.2289855072463768,0.027478260869565216,0.15603864734299516,0.070121783799564,0.0581476558379975,0.42619962012000095,0.38638803287720946
11,ewma_persistence_trigger,2070,0.05574813584551729,0.03009491522635508,0.23091787439613526,0.02771014492753623,0.2111111111111111,0.070121783799564,0.06621262507057592,0.42619962012000095,0.4133731786829848
11,static_utilization_trigger,2070,0.14483624121758315,0.08478374951608186,0.22270531400966184,0.02672463768115942,0.16618357487922705,0.070121783799564,0.05996560820656314,0.42619962012000095,0.39006481828389755
11,random_trigger,2070,0.05711551855498877,0.03729483504716006,0.22995169082125605,0.027594202898550725,0.20821256038647343,0.070121783799564,0.0661167417558511,0.42619962012000095,0.41030457559046324
13,proposed_safe_trigger,2070,0.1481113698904461,0.07483399374127311,0.22705314009661837,0.027246376811594204,0.15893719806763285,0.07412312097869801,0.06314464398998779,0.4382137758087906,0.4054204888525759
13,direct_risk_trigger,2070,0.13789996838087096,0.0709850529624804,0.22318840579710145,0.026782608695652174,0.1565217391304348,0.07412312097869801,0.06390154493944408,0.4382137758087906,0.4071071477241151
13,ewma_persistence_trigger,2070,0.057701761317344474,0.028370731808464892,0.21884057971014492,0.02626086956521739,0.19855072463768117,0.07412312097869801,0.06984608634388853,0.4382137758087906,0.42578133030054466
13,static_utilization_trigger,2070,0.13624584992359912,0.0818288206708621,0.22608695652173913,0.027130434782608695,0.17391304347826086,0.07412312097869801,0.06402415336196554,0.4382137758087906,0.4023552593326317
13,random_trigger,2070,0.05165300372204105,0.031376109745352924,0.2314009661835749,0.027768115942028986,0.21304347826086956,0.07412312097869801,0.07029443913489603,0.4382137758087906,0.4244643322870885
