scenario,method,seeds,delay_mae,risk_mae,coverage,auroc,recall_at_10
drift_strong,learned_descriptor,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.6518096734531836,1.361890322935835,0.6986,0.8283022222222222,0.442
drift_strong,observable_descriptor,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.7015175550023816,1.3829414171702052,0.8582000000000001,0.8891022222222222,0.442
load_high,learned_descriptor,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.13480108941700847,0.4853108535742373,0.6854,0.7946755555555556,0.24
load_high,observable_descriptor,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.22468616559972326,0.6856524490161023,0.9124000000000001,0.8591288888888888,0.45999999999999996
overall,learned_descriptor,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.016651644906190192,0.061004659502627165,0.9688000000000001,0.8678844444444443,0.44400000000000006
overall,observable_descriptor,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.01897246727709416,0.061572236590187276,0.9768000000000001,0.8730044444444445,0.43600000000000005
vacation_high,learned_descriptor,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.04652130443018843,0.17524815033666458,0.9388,0.8560177777777778,0.41200000000000003
vacation_high,observable_descriptor,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.05314389404875229,0.17898768061020873,0.9768000000000001,0.87544,0.462
