policy,runs,seeds,target_violation_reduction_mean,target_violation_reduction_std,p95_delay_reduction_mean,p95_delay_reduction_std,trigger_rate_mean,trigger_rate_std,background_cost_mean,background_cost_std,false_alarm_cost_mean,false_alarm_cost_std,base_violation_mean,base_violation_std,controlled_violation_mean,controlled_violation_std,base_p95_mean,base_p95_std,controlled_p95_mean,controlled_p95_std
direct_risk_trigger,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.1467234513,0.0103966101,0.08128604685,0.008475995659,0.2275603865,0.003991300907,0.02730724638,0.0004789561089,0.1594202899,0.005003281564,0.07384039783,0.003223012136,0.06302588992,0.003271015378,0.4503783691,0.01700017289,0.413761537,0.01587331715
ewma_persistence_trigger,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.06119840807,0.006869959405,0.03753505514,0.005815811757,0.2306763285,0.005311697715,0.02768115942,0.0006374037258,0.2074637681,0.00599598456,0.07384039783,0.003223012136,0.06931999317,0.003034711875,0.4503783691,0.01700017289,0.4334503991,0.01593827558
proposed_safe_trigger,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.1542201823,0.01276983976,0.08900813412,0.008976174876,0.2254589372,0.004472050811,0.02705507246,0.0005366460973,0.1564009662,0.004855961023,0.07384039783,0.003223012136,0.06246957731,0.003237087162,0.4503783691,0.01700017289,0.4102701377,0.01543766476
random_trigger,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.06136221309,0.008383123037,0.03895309746,0.006687684261,0.2292028986,0.005582243903,0.02750434783,0.0006698692683,0.2065700483,0.005604040082,0.07384039783,0.003223012136,0.069302941,0.002936588535,0.4503783691,0.01700017289,0.4327897162,0.01533422856
static_utilization_trigger,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.1371709108,0.008392868477,0.08560510593,0.007281823321,0.2269323671,0.004083783967,0.02723188406,0.0004900540761,0.1730193237,0.004524410775,0.07384039783,0.003223012136,0.06371594909,0.00294809463,0.4503783691,0.01700017289,0.4117562671,0.01399978916
