scenario,variant,variant_label,runs,seeds,delay_mae_mean,delay_mae_std,risk_mae_mean,risk_mae_std,coverage_mean,coverage_std,auroc_mean,auroc_std,recall_at_10_mean,recall_at_10_std
drift_strong,baseline,Baseline,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.6518096734531836,0.08211218214204781,1.361890322935835,0.13807569769137046,0.6986,0.036689881008543104,0.8283022222222222,0.04665918870745833,0.442,0.08941917844447136
drift_strong,c_b_0.5x,$c_b$ 0.5x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.6519239129640414,0.08211633472316193,1.3621657308241752,0.1380932562489842,0.6986,0.036689881008543104,0.8283911111111111,0.04664526515664225,0.442,0.08941917844447136
drift_strong,c_b_0x,$c_b$ 0x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.6520387063659083,0.08212089465274108,1.3621519060288731,0.13872191971889775,0.6990000000000001,0.037000711230717534,0.828968888888889,0.04651074950334839,0.45200000000000007,0.08715382650052843
drift_strong,c_b_1.5x,$c_b$ 1.5x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.6516960926455702,0.08210808428461656,1.3616162485516738,0.13833171040501605,0.6984,0.036830193563090814,0.8282044444444445,0.04662807961911858,0.442,0.08941917844447136
drift_strong,c_b_2x,$c_b$ 2x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.6515839586690889,0.08210222181869335,1.361201208732302,0.13835474778662327,0.6986,0.036918687323416716,0.8282755555555555,0.046673798619598625,0.44400000000000006,0.08887602246062237
drift_strong,c_u_0.5x,$c_u$ 0.5x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.6520551056908644,0.08212461998279859,1.3623270707037638,0.13832854384311533,0.6988,0.03716478242411192,0.8287377777777778,0.04658246572542538,0.44400000000000006,0.08792341164780557
drift_strong,c_u_0x,$c_u$ 0x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.6523030237532692,0.08213674807923736,1.362887958362033,0.13889001733101228,0.6994,0.03764152242572443,0.8293333333333333,0.04641639825848671,0.45,0.08789946410231228
drift_strong,c_u_1.5x,$c_u$ 1.5x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.6515660185850379,0.08209999417007413,1.3611533932370914,0.13823349831071138,0.6988,0.03663992645361499,0.8282666666666667,0.046614154805167604,0.442,0.08941917844447136
drift_strong,c_u_2x,$c_u$ 2x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.6513258472232135,0.08208690959221916,1.360724484456954,0.13820913845983468,0.6990000000000001,0.03598537714712814,0.8280533333333333,0.046640896476928276,0.442,0.08941917844447136
drift_strong,c_v_0.5x,$c_v$ 0.5x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.6520121739904985,0.08212317123521325,1.362407606355401,0.1381095575233005,0.6988,0.037548004362135505,0.8282844444444445,0.04667627280690801,0.442,0.08941917844447136
drift_strong,c_v_0x,$c_v$ 0x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.6522165477032588,0.0821340655459495,1.36277635856848,0.13833339981502152,0.6988,0.037525570229546557,0.8285600000000001,0.04669189270852439,0.44400000000000006,0.08792341164780557
drift_strong,c_v_1.5x,$c_v$ 1.5x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.6516087024159941,0.08210181334586332,1.3613748105669434,0.1380445014905324,0.6982,0.037150618044019555,0.8284,0.0465952335488694,0.442,0.08941917844447136
drift_strong,c_v_2x,$c_v$ 2x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.6514091613985404,0.08209145440103269,1.3607066516136848,0.1382250798782283,0.6986,0.03707801164259514,0.8285155555555554,0.04659193213798797,0.442,0.08941917844447136
