scenario,comparison,metric,seeds,mean_improvement,ci_low,ci_high,wilcoxon_p
overall,Risk MAE vs static,risk_mae,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.030551957612593234,0.02838733608689195,0.03259382039354574,1.9073486328125e-06
load_high,Coverage vs global,safe_coverage,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.0984,0.0894,0.10759999999999999,1.9073486328125e-06
vacation_high,Coverage vs global,safe_coverage,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.0748,0.06699999999999998,0.08339999999999999,1.9073486328125e-06
drift_strong,Coverage vs global,safe_coverage,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.07079999999999997,0.06439999999999997,0.07779999999999997,1.9073486328125e-06
drift_strong,Risk MAE vs direct,risk_mae,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,2.849470890347299,0.4112674937915566,6.342213489559017,1.9073486328125e-06
drift_strong,R@10 vs direct,recall_at_10,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.194,0.154,0.23200000000000004,3.814697265625e-06
